# star HD number, 16160
# Instrument codes:
#  p, Hamilton Spectrograph dewar 16
#  l, Hamilton Spectrograph all other dewars
#  k, pre-upgrade Keck HIRES (on or before August 19 2004)
#  j, post-upgrade Keck HIRES (after August 19 2004)
hjd-2440000,rv,rv_err,inst
7048.8723,-99.1999969482,8.1199999,p
7374.9541,-77.4400024414,9.1400003,p
7430.8553,-93.3600006104,7.7599998,p
7845.8698,-78.6900024414,7.3400002,p
8200.7598,-93.3799972534,8.4099998,p
8645.7591,-63.4099998474,11.0500002,p
8846.0048,-49.5900001526,7.9099998,p
8905.9051,-43.6699981689,8.3500004,p
8991.7868,-59.7000007629,14.5600004,p
9305.81462,-49.7799987793,6.79,p
9349.675,-73.2799987793,11.0200005,p
9603.00331,-33.9300003052,7.4299998,p
9621.9319,-47.5600013733,8.0200005,p
9622.949,-45.5,9.2600002,p
9679.7295,-25.3099994659,4.77,l
10002.9834,-17.5699996948,2.02,l
10013.90527,-20.9899997711,3.2399998,l
10033.83918,-22.1399993896,2.01,l
10048.83543,-17.4099998474,2.2,l
10056.85656,-17.4699993134,1.4899999,l
10068.72723,-11.2299995422,2.21,l
10088.82031,-19.5300006866,2.1700001,l
10326.9375,-17.6299991608,1.97,l
10421.89453,-17.8199996948,2.3499999,l
10656.97656,-6.61999988556,1.97,l
10681.99414,-7.34999990463,2.1800001,l
10767.79981,9.25,16.1200008,l
10793.74805,-4.55999994278,2.0799999,l
10856.64941,-3.55999994278,2.22,l
11206.67676,1.03999996185,3.4100001,l
11380.98242,-0.330000013113,3.1300004,l
11453.90918,3.6400001049,3.28,l
11454.95129,6.80000019073,3.0799999,l
11482.89941,-8.27000045776,3.8599999,l
11496.85982,7.67000007629,2.24,l
11536.72967,4.84999990463,1.88,l
11881.75977,5.11000013351,2.9300001,l
11887.76056,15.2899999619,2.26,l
12159.9541,18.7600002289,2.6200001,l
12593.86685,24.4699993134,1.5,l
12597.85091,8.18999958038,1.6199999,l
12598.76329,22.1700000763,1.9299999,l
12606.76478,14.8500003815,1.5500001,l
12896.98535,13.029999733,2.1700001,l
13280.96875,1.78999996185,1.96,l
13361.72042,25.5400009155,2.5999997,l
13389.68528,23.8700008392,2.22,l
13744.68052,23.2800006866,2.3299999,l
13751.74609,25.8199996948,2.6300004,l
13950.99635,32.3899993896,1.96,l
13951.97601,24.25,1.6700001,l
13962.1146622,41.0391270837,0.5885314,j
13963.86515,26.6200008392,2.0899999,l
13981.9994243,44.0897072702,0.538677,j
13983.0403554,44.9086715854,0.5438775,j
14071.86218,21.0,2.4000001,l
14072.73325,18.3899993896,2.0,l
14083.8489311,41.2695792911,0.8301964,j
14133.71212,22.0200004578,2.3199999,l
14138.7898254,40.8102012278,0.6891745,j
14340.97316,19.4500007629,2.1800001,l
14344.013252,38.6783404773,1.0624052,j
14373.9523,11.1499996185,2.21,l
14397.955127,39.2424607061,1.0159597,j
14429.95625,37.1676434876,1.2281979,j
14453.840058,35.4189563177,1.1443654,j
14454.858704,35.229871598,1.2038947,j
14455.869954,36.8219894342,1.286873,j
14689.02412,32.3373416055,1.1478384,j
14690.084236,34.4274891211,1.0842788,j
14717.979618,20.8909603494,1.2890455,j
14719.028553,28.4397509827,1.1119249,j
14720.050822,28.3695619514,1.248234,j
14721.011088,28.1150385485,1.1254402,j
14722.051227,28.8734794363,1.2183042,j
14722.994329,30.9088812975,1.1556391,j
14723.985961,30.8523119453,1.156041,j
14724.997836,28.4496476306,1.2198056,j
14725.904884,28.0062656251,1.2555295,j
14727.033993,33.351248745,1.2423501,j
14727.972083,32.6054698377,1.1288402,j
14784.75788,11.3000001907,2.46,l
14848.71211,15.1099996567,1.7199999,l
15042.137193,21.065718815,1.2978963,j
15074.110117,17.2311712162,1.1951168,j
15075.06955,19.3576699769,1.0345229,j
15076.059298,18.0521651006,1.1372073,j
15077.048859,20.4686661711,1.1371163,j
15078.072624,19.1863201979,1.134005,j
15079.075969,16.192687082,1.0883319,j
15080.07289,18.6378571074,1.0620427,j
15081.084232,18.4394942738,1.1153607,j
15082.038994,15.7881982681,1.1426277,j
15083.0449025,15.9703244925,0.6017055,j
15084.138774,16.5477073245,1.084048,j
15085.033864,16.6113267199,1.0999758,j
15109.973284,18.0831930624,1.3766507,j
15111.087509,7.36201031524,1.742853,j
15169.710412,13.2903279291,1.3398994,j
15187.730434,12.6549646024,1.2422881,j
15198.726768,11.204731232,1.2124103,j
15229.7679549,7.81377919186,0.6935397,j
15251.7139305,8.02372662711,0.6433384,j
15256.709306,11.6012160125,1.3405889,j
15260.717571,10.4830658841,1.2487777,j
15412.125881,-0.736608898752,1.0320412,j
15490.9490188,-6.65560715731,0.68383,j
15522.9263787,-5.49997322002,0.6883131,j
15546.84109,-20.0300006866,2.05,l
15558.8723571,-11.1623921208,0.7585018,j
15782.1194611,-30.4297189567,0.8141238,j
15786.1227784,-30.6495238738,0.8625507,j
15843.9769,-55.2099990845,3.6300001,l
15846.8337,-49.3800010681,2.1600001,l
16138.144636,-79.8561500322,1.0492982,j
16148.142442,-82.6085741505,1.0742632,j
16149.136797,-83.2972271064,1.120546,j
16173.108003,-90.2146335079,1.272392,j
16209.025233,-86.2733538974,1.2465754,j
16289.960785,-104.22817946,1.2412343,j
16319.696212,-105.853853801,1.2400619,j
16343.719252,-116.826804143,1.1685258,j
16507.135599,-148.425167388,1.2071769,j

